Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,URL_Tournament
1988,Vienna,Vienna,1988.10.17,32,16,Indoor Carpet,"$210,000",Horst Skoff,Alex Antonitsch Balazs Taroczy,,https://www.atptour.com/en/scores/archive/vienna/337/1988/results
1988,Frankfurt,Frankfurt,1988.10.17,32,16,Indoor Carpet,"$170,000",Tim Mayotte,Rudiger Haas Goran Ivanisevic,,https://www.atptour.com/en/scores/archive/frankfurt/348/1988/results
1988,Tokyo-2,Tokyo,1988.10.18,32,16,Indoor Carpet,"$617,500",Boris Becker,Andres Gomez Slobodan Zivojinovic,,https://www.atptour.com/en/scores/archive/tokyo/428/1988/results
1988,Paris,Paris,1988.10.24,32,16,Indoor Carpet,"$1,077,500",Amos Mansdorf,Paul Annacone John Fitzgerald,,https://www.atptour.com/en/scores/archive/paris/352/1988/results
1988,Stockholm,Stockholm,1988.10.31,56,28,Indoor Hard,"$642,500",Boris Becker,Kevin Curren Jim Grabb,,https://www.atptour.com/en/scores/archive/stockholm/429/1988/results
1988,Sao Paulo,Sao Paulo,1988.10.31,32,16,Outdoor Hard,"$130,000",Jay Berger,Jay Berger Horacio de la Pena,,https://www.atptour.com/en/scores/archive/sao-paulo/237/1988/results
1988,Buenos Aires,Buenos Aires,1988.11.07,32,16,Outdoor Clay,"$123,400",Javier Sanchez,Carlos Costa Javier Sanchez,,https://www.atptour.com/en/scores/archive/buenos-aires/303/1988/results
1988,Wembley,Wembley,1988.11.08,32,16,Indoor Carpet,"$452,500",Jakob Hlasek,Ken Flach Robert Seguso,,https://www.atptour.com/en/scores/archive/wembley/430/1988/results
1988,Detroit,Detroit,1988.11.14,32,16,Indoor Carpet,"$415,000",John McEnroe,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/detroit/437/1988/results
1988,Johannesburg,Johannesburg,1988.11.14,32,16,Indoor Hard,"$415,000",Jakob Hlasek,Kevin Curren David Pate,,https://www.atptour.com/en/scores/archive/johannesburg/426/1988/results
1988,Brussels,Brussels,1988.11.21,32,16,Indoor Carpet,"$490,000",Henri Leconte,Wally Masur Tom Nijssen,,https://www.atptour.com/en/scores/archive/brussels/406/1988/results
1988,Itaparica,Itaparica,1988.11.21,32,16,Outdoor Hard,"$305,000",Jaime Yzaga,Sergio Casal Emilio Sanchez,,https://www.atptour.com/en/scores/archive/itaparica/240/1988/results
1988,Masters,,1988.11.30,8,0,Indoor Carpet,"$750,000",Boris Becker,,,https://www.atptour.com/en/scores/archive/masters/605/1988/results
1988,Masters Doubles,London,1988.12.07,0,8,Indoor Carpet,"$277,500",,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/masters-doubles/602/1988/results
1989,Wellington,Wellington,1989.01.02,32,16,Outdoor Hard,"$145,000",Kelly Evernden,Peter Doohan Laurie Warder,,https://www.atptour.com/en/scores/archive/wellington/354/1989/results
1989,Adelaide,Adelaide,1989.01.02,32,16,Outdoor Hard,"$123,400",Mark Woodforde,Neil Broad Stefan Kruger,,https://www.atptour.com/en/scores/archive/adelaide/7308/1989/results
1989,Auckland,Auckland,1989.01.09,32,16,Outdoor Hard,"$145,000",Ramesh Krishnan,Steve Guy Shuzo Matsuoka,,https://www.atptour.com/en/scores/archive/auckland/301/1989/results
1989,Sydney-1,Sydney,1989.01.09,32,16,Outdoor Hard,"$145,000",Aaron Krickstein,Darren Cahill Wally Masur,,https://www.atptour.com/en/scores/archive/sydney/338/1989/results
1989,Australian Open,Melbourne,1989.01.16,128,64,Outdoor Hard,"$1,213,342",Ivan Lendl,Rick Leach Jim Pugh,,https://www.atptour.com/en/scores/archive/australian-open/580/1989/results
1989,Rotterdam,Rotterdam,1989.02.06,32,16,Indoor Carpet,"$452,500",Jakob Hlasek,Miloslav Mecir Sr. Milan Srejber,,https://www.atptour.com/en/scores/archive/rotterdam/407/1989/results
1989,Guaruja,Guaruja,1989.02.06,32,16,Outdoor Hard,"$130,000",Luiz Mattar,Ricardo Acioly Dacio Campos,,https://www.atptour.com/en/scores/archive/guaruja/201/1989/results
