,year,name,identifier ,url
95096,1989,Forest Hills,1989-Forest Hills,https://www.atptour.com/en/scores/archive/forest-hills/415/1989/results
95151,1989,Munich,1989-Munich,https://www.atptour.com/en/scores/archive/munich/308/1989/results
95198,1989,Hamburg,1989-Hamburg,https://www.atptour.com/en/scores/archive/hamburg/414/1989/results
95253,1989,Charleston,1989-Charleston,https://www.atptour.com/en/scores/archive/charleston/717/1989/results
95284,1989,Rome,1989-Rome,https://www.atptour.com/en/scores/archive/rome/416/1989/results
95347,1989,World Team Cup,1989-World Team Cup,https://www.atptour.com/en/scores/archive/dusseldorf/615/1989/results
95373,1989,Florence,1989-Florence,https://www.atptour.com/en/scores/archive/florence/310/1989/results
95404,1989,Roland Garros,1989-Roland Garros,https://www.atptour.com/en/scores/archive/roland-garros/520/1989/results
95531,1989,London / Queen's Club,1989-London / Queen's Club,https://www.atptour.com/en/scores/archive/london/311/1989/results
95594,1989,Bologna,1989-Bologna,https://www.atptour.com/en/scores/archive/bologna/312/1989/results
95625,1989,Bristol,1989-Bristol,https://www.atptour.com/en/scores/archive/bristol/313/1989/results
95656,1989,Bari,1989-Bari,https://www.atptour.com/en/scores/archive/bari/306/1989/results
95687,1989,Wimbledon,1989-Wimbledon,https://www.atptour.com/en/scores/archive/wimbledon/540/1989/results
95814,1989,Boston,1989-Boston,https://www.atptour.com/en/scores/archive/boston/417/1989/results
95869,1989,Gstaad,1989-Gstaad,https://www.atptour.com/en/scores/archive/gstaad/314/1989/results
95900,1989,Newport,1989-Newport,https://www.atptour.com/en/scores/archive/newport/315/1989/results
95931,1989,Schenectady,1989-Schenectady,https://www.atptour.com/en/scores/archive/schenectady/224/1989/results
95962,1989,Washington,1989-Washington,https://www.atptour.com/en/scores/archive/washington/418/1989/results
96017,1989,Stuttgart,1989-Stuttgart,https://www.atptour.com/en/scores/archive/stuttgart/321/1989/results
96064,1989,Hilversum,1989-Hilversum,https://www.atptour.com/en/scores/archive/hilversum/317/1989/results
96095,1989,Stratton Mountain,1989-Stratton Mountain,https://www.atptour.com/en/scores/archive/stratton-mountain/420/1989/results
96158,1989,Kitzbuhel,1989-Kitzbuhel,https://www.atptour.com/en/scores/archive/kitzbuhel/319/1989/results
96221,1989,Bastad,1989-Bastad,https://www.atptour.com/en/scores/archive/bastad/316/1989/results
96252,1989,Indianapolis,1989-Indianapolis,https://www.atptour.com/en/scores/archive/indianapolis/419/1989/results
96307,1989,Prague,1989-Prague,https://www.atptour.com/en/scores/archive/prague/379/1989/results
96338,1989,Livingston,1989-Livingston,https://www.atptour.com/en/scores/archive/livingston/318/1989/results
96369,1989,Montreal,1989-Montreal,https://www.atptour.com/en/scores/archive/montreal/421/1989/results
96424,1989,Cincinnati,1989-Cincinnati,https://www.atptour.com/en/scores/archive/cincinnati/422/1989/results
96487,1989,St. Vincent,1989-St. Vincent,https://www.atptour.com/en/scores/archive/st-vincent/366/1989/results
96518,1989,San Marino,1989-San Marino,https://www.atptour.com/en/scores/archive/san-marino/475/1989/results
96549,1989,US Open,1989-US Open,https://www.atptour.com/en/scores/archive/us-open/560/1989/results
96676,1989,Geneva,1989-Geneva,https://www.atptour.com/en/scores/archive/geneva/322/1989/results
96707,1989,Madrid,1989-Madrid,https://www.atptour.com/en/scores/archive/madrid/309/1989/results
96738,1989,Barcelona,1989-Barcelona,https://www.atptour.com/en/scores/archive/barcelona/425/1989/results
