Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team 
1988,Rotterdam,Rotterdam,1988.02.08,32,16,Indoor Carpet,"$442,500",Stefan Edberg,Patrik Kuhnen Tore Meinecke,
1988,Lyon,Lyon,1988.02.08,32,16,Indoor Carpet,"$280,000",Yahiya Doumbia,Brad Drewett Broderick Dyke,
1988,Milan,Milan,1988.02.15,32,16,Indoor Carpet,"$490,000",Yannick Noah,Boris Becker Eric Jelen,
1988,Memphis,Memphis,1988.02.15,48,24,Indoor Hard,"$415,000",Andre Agassi,Kevin Curren David Pate,
1988,Philadelphia,Philadelphia,1988.02.22,48,24,Indoor Carpet,"$602,500",Tim Mayotte,Kelly Evernden Johan Kriek,
1988,Metz,Metz,1988.02.22,32,16,Indoor Carpet,"$123,400",Jonas Svensson,Jaroslav Navratil Tom Nijssen,
1988,Indian Wells,Indian Wells,1988.02.29,56,28,Outdoor Hard,"$702,500",Boris Becker,Boris Becker Guy Forget,
1988,Orlando,Orlando,1988.03.07,32,16,Outdoor Hard,"$415,000",Andrei Chesnokov,Guy Forget Yannick Noah,
1988,Key Biscayne,Key Biscayne,1988.03.14,128,64,Outdoor Hard,"$1,017,500",Mats Wilander,John Fitzgerald Anders Jarryd,
1988,WCT Finals,Dallas,1988.03.28,9,0,Indoor Carpet,"$675,000",Boris Becker,,
1988,Tokyo-1,Tokyo,1988.04.11,56,28,Outdoor Hard,"$627,500",John McEnroe,John Fitzgerald Johan Kriek,
1988,Nice,Nice,1988.04.11,32,16,Outdoor Clay,"$145,000",Henri Leconte,Guy Forget Henri Leconte,
1988,Madrid,Madrid,1988.04.11,32,16,Outdoor Clay,"$123,400",Kent Carlsson,Sergio Casal Emilio Sanchez,
1988,Monte Carlo,Monte Carlo,1988.04.18,48,24,Outdoor Clay,"$492,500",Ivan Lendl,Sergio Casal Emilio Sanchez,
1988,Seoul,Seoul,1988.04.18,32,16,Outdoor Hard,"$123,400",Dan Goldie,Andrew Castle Roberto Saad,
1988,Hamburg,Hamburg,1988.04.25,56,28,Outdoor Clay,"$602,500",Kent Carlsson,Darren Cahill Laurie Warder,
1988,Charleston,Charleston,1988.04.25,32,16,Outdoor Clay,"$220,000",Andre Agassi,Pieter Aldrich Danie Visser,
1988,Forest Hills,Forest Hills,1988.05.02,64,32,Outdoor Clay,"$677,500",Andre Agassi,Jorge Lozano Todd Witsken,
1988,Munich,Munich,1988.05.02,48,24,Outdoor Clay,"$195,000",Guillermo Perez-Roldan,Rick Leach Jim Pugh,
1988,Rome,Rome,1988.05.09,64,32,Outdoor Clay,"$825,000",Ivan Lendl,Jorge Lozano Todd Witsken,
1988,World Team Cup,Dusseldorf,1988.05.16,32,8,Outdoor Clay,"$750,000",Kent Carlsson,Ken Flach Robert Seguso,
1988,Florence,Florence,1988.05.16,32,16,Outdoor Clay,"$123,400",Massimiliano Narducci,Javier Frana Christian Miniussi,
1988,Roland Garros,Paris,1988.05.23,128,64,Outdoor Clay,"$1,950,000",Mats Wilander,Andres Gomez Emilio Sanchez,
1988,London / Queen's Club,London,1988.06.06,64,32,Outdoor Grass,"$385,000",Boris Becker,Ken Flach Robert Seguso,
1988,Bologna,Bologna,1988.06.06,32,16,Outdoor Clay,"$123,400",Alberto Mancini,Emilio Sanchez Javier Sanchez,
1988,Athens,Athens,1988.06.13,32,16,Outdoor Clay,"$123,400",Horst Skoff,Rikard Bergh Per Henricsson,
1988,Bristol,Bristol,1988.06.13,48,16,Outdoor Grass,"$123,400",Christian Saceanu,Peter Doohan Laurie Warder,
1988,Wimbledon,London,1988.06.20,128,64,Outdoor Grass,"$1,995,396",Stefan Edberg,Ken Flach Robert Seguso,
1988,Boston,Boston,1988.07.04,56,28,Outdoor Clay,"$415,000",Thomas Muster,Jorge Lozano Todd Witsken,
1988,Gstaad,Gstaad,1988.07.04,32,16,Outdoor Clay,"$270,000",Darren Cahill,Petr Korda Milan Srejber,
1988,Newport,Newport,1988.07.04,32,16,Outdoor Grass,"$145,000",Wally Masur,Kelly Jones Peter Lundgren,
1988,Stuttgart,Stuttgart,1988.07.11,48,24,Outdoor Clay,"$350,000",Andre Agassi,Sergio Casal Emilio Sanchez,
1988,Bastad,Bastad,1988.07.11,48,24,Outdoor Clay,"$245,000",Marcelo Filippini,Patrick Baur Udo Riglewski,
1988,Washington,Washington,1988.07.18,56,28,Outdoor Hard,"$415,000",Jimmy Connors,Rick Leach Jim Pugh,
1988,Schenectady,Schenectady,1988.07.18,32,16,Outdoor Hard,"$123,400",Tim Mayotte,Alexander Mronz Greg Van Emburgh,
1988,Stratton Mountain,Stratton Mountain,1988.07.25,64,32,Outdoor Hard,"$602,500",Andre Agassi,Jorge Lozano Todd Witsken,
1988,Bordeaux,Bordeaux,1988.07.25,32,16,Outdoor Clay,"$245,000",Thomas Muster,Joakim Nystrom Claudio Panatta,
1988,Hilversum,Hilversum,1988.07.25,32,16,Outdoor Clay,"$180,000",Emilio Sanchez,Sergio Casal Emilio Sanchez,
1988,Indianapolis,Indianapolis,1988.08.01,56,28,Outdoor Hard,"$415,000",Boris Becker,Rick Leach Jim Pugh,
1988,Kitzbuhel,Kitzbuhel,1988.08.01,64,32,Outdoor Clay,"$290,000",Kent Carlsson,Sergio Casal Emilio Sanchez,
1988,Toronto,Toronto,1988.08.08,56,28,Outdoor Hard,"$602,500",Ivan Lendl,Ken Flach Robert Seguso,
1988,Prague,Prague,1988.08.08,32,16,Outdoor Clay,"$170,000",Thomas Muster,Petr Korda Jaroslav Navratil,
1988,St. Vincent,St. Vincent,1988.08.08,32,16,Outdoor Clay,"$155,000",Kent Carlsson,Christian Miniussi Alberto Mancini,
1988,Cincinnati,Cincinnati,1988.08.15,64,32,Outdoor Hard,"$602,500",Mats Wilander,Rick Leach Jim Pugh,
1988,Livingston,Livingston,1988.08.15,32,16,Outdoor Hard,"$123,400",Andre Agassi,Grant Connell Glenn Michibata,
1988,Rye Brook,Rye Brook,1988.08.22,32,16,Outdoor Hard,"$123,400",Milan Srejber,Andrew Castle Tim Wilkison,
1988,US Open,New York,1988.08.29,128,64,Outdoor Hard,"$2,200,000",Mats Wilander,Sergio Casal Emilio Sanchez,
1988,Barcelona,Barcelona,1988.09.12,56,28,Outdoor Clay,"$490,000",Kent Carlsson,Sergio Casal Emilio Sanchez,
1988,Los Angeles,Los Angeles,1988.09.19,32,16,Outdoor Hard,"$415,000",Mikael Pernfors,John McEnroe Mark Woodforde,
1988,Geneva,Geneva,1988.09.19,32,16,Outdoor Clay,"$220,000",Marian Vajda,Mansour Bahrami Tomas Smid,
1988,Bari,Bari,1988.09.19,32,16,Outdoor Clay,"$123,400",Thomas Muster,Thomas Muster Claudio Panatta,
1988,Seoul Olympics,Seoul,1988.09.19,64,32,Outdoor Hard,,Miloslav Mecir Sr.,Ken Flach Robert Seguso,
1988,San Francisco,San Francisco,1988.09.26,32,16,Indoor Carpet,"$415,000",Michael Chang,John McEnroe Mark Woodforde,
1988,Palermo,Palermo,1988.09.26,48,24,Outdoor Clay,"$123,400",Mats Wilander,Carlos Di Laura Marcelo Filippini,
1988,Scottsdale,Scottsdale,1988.10.03,32,16,Outdoor Hard,"$415,000",Mikael Pernfors,Scott Davis Tim Wilkison,
1988,Basel,Basel,1988.10.04,32,16,Indoor Hard,"$270,000",Stefan Edberg,Jakob Hlasek Tomas Smid,
1988,Brisbane,Brisbane,1988.10.04,32,16,Indoor Hard,"$195,000",Tim Mayotte,Eric Jelen Carl-Uwe Steeb,
1988,Sydney-2,Sydney,1988.10.10,32,16,Indoor Hard,"$510,000",Slobodan Zivojinovic,Darren Cahill John Fitzgerald,
1988,Toulouse,Toulouse,1988.10.10,32,16,Indoor Hard,"$290,000",Jimmy Connors,Tom Nijssen Ricki Osterthun,
1988,Tel Aviv,Tel Aviv,1988.10.10,32,16,Outdoor Hard,"$125,000",Brad Gilbert,Roger Smith Paul Wekesa,
1988,Vienna,Vienna,1988.10.17,32,16,Indoor Carpet,"$210,000",Horst Skoff,Alex Antonitsch Balazs Taroczy,
1988,Frankfurt,Frankfurt,1988.10.17,32,16,Indoor Carpet,"$170,000",Tim Mayotte,Rudiger Haas Goran Ivanisevic,
1988,Tokyo-2,Tokyo,1988.10.18,32,16,Indoor Carpet,"$617,500",Boris Becker,Andres Gomez Slobodan Zivojinovic,
1988,Paris,Paris,1988.10.24,32,16,Indoor Carpet,"$1,077,500",Amos Mansdorf,Paul Annacone John Fitzgerald,
1988,Stockholm,Stockholm,1988.10.31,56,28,Indoor Hard,"$642,500",Boris Becker,Kevin Curren Jim Grabb,
1988,Sao Paulo,Sao Paulo,1988.10.31,32,16,Outdoor Hard,"$130,000",Jay Berger,Jay Berger Horacio de la Pena,
1988,Buenos Aires,Buenos Aires,1988.11.07,32,16,Outdoor Clay,"$123,400",Javier Sanchez,Carlos Costa Javier Sanchez,
1988,Wembley,Wembley,1988.11.08,32,16,Indoor Carpet,"$452,500",Jakob Hlasek,Ken Flach Robert Seguso,
1988,Detroit,Detroit,1988.11.14,32,16,Indoor Carpet,"$415,000",John McEnroe,Rick Leach Jim Pugh,
1988,Johannesburg,Johannesburg,1988.11.14,32,16,Indoor Hard,"$415,000",Jakob Hlasek,Kevin Curren David Pate,
1988,Brussels,Brussels,1988.11.21,32,16,Indoor Carpet,"$490,000",Henri Leconte,Wally Masur Tom Nijssen,
1988,Itaparica,Itaparica,1988.11.21,32,16,Outdoor Hard,"$305,000",Jaime Yzaga,Sergio Casal Emilio Sanchez,
1988,Masters,,1988.11.30,8,0,Indoor Carpet,"$750,000",Boris Becker,,
1988,Masters Doubles,London,1988.12.07,0,8,Indoor Carpet,"$277,500",,Rick Leach Jim Pugh,
1989,Wellington,Wellington,1989.01.02,32,16,Outdoor Hard,"$145,000",Kelly Evernden,Peter Doohan Laurie Warder,
1989,Adelaide,Adelaide,1989.01.02,32,16,Outdoor Hard,"$123,400",Mark Woodforde,Neil Broad Stefan Kruger,
1989,Auckland,Auckland,1989.01.09,32,16,Outdoor Hard,"$145,000",Ramesh Krishnan,Steve Guy Shuzo Matsuoka,
1989,Sydney-1,Sydney,1989.01.09,32,16,Outdoor Hard,"$145,000",Aaron Krickstein,Darren Cahill Wally Masur,
1989,Australian Open,Melbourne,1989.01.16,128,64,Outdoor Hard,"$1,213,342",Ivan Lendl,Rick Leach Jim Pugh,
1989,Rotterdam,Rotterdam,1989.02.06,32,16,Indoor Carpet,"$452,500",Jakob Hlasek,Miloslav Mecir Sr. Milan Srejber,
1989,Guaruja,Guaruja,1989.02.06,32,16,Outdoor Hard,"$130,000",Luiz Mattar,Ricardo Acioly Dacio Campos,
1989,Milan,Milan,1989.02.13,32,16,Indoor Carpet,"$492,500",Boris Becker,Jakob Hlasek John McEnroe,
1989,Memphis,Memphis,1989.02.13,48,24,Indoor Hard,"$415,000",Brad Gilbert,Paul Annacone Christo Van Rensburg,
1989,Philadelphia,Philadelphia,1989.02.20,48,24,Indoor Carpet,"$602,500",Boris Becker,Paul Annacone Christo Van Rensburg,
1989,Lyon,Lyon,1989.02.20,32,16,Indoor Carpet,"$291,000",John McEnroe,Eric Jelen Michael Mortensen,
1989,Nancy,Nancy,1989.02.27,32,16,Indoor Carpet,"$130,000",Guy Forget,Udo Riglewski Tobias Svantesson,
1989,WCT Finals,Dallas,1989.02.28,8,0,Indoor Carpet,"$685,000",John McEnroe,,
1989,Scottsdale,Scottsdale,1989.03.06,32,16,Outdoor Hard,"$415,000",Ivan Lendl,Rick Leach Jim Pugh,
1989,Indian Wells,Indian Wells,1989.03.13,56,28,Outdoor Hard,"$702,500",Miloslav Mecir Sr.,Boris Becker Jakob Hlasek,
1989,Key Biscayne,Key Biscayne,1989.03.20,128,64,Outdoor Hard,"$1,012,500",Ivan Lendl,Jakob Hlasek Anders Jarryd,
1989,Rio de Janeiro,Rio de Janeiro,1989.04.10,32,16,Outdoor Carpet,"$230,000",Luiz Mattar,Jorge Lozano Todd Witsken,
1989,Athens,Athens,1989.04.10,32,16,Outdoor Clay,"$123,400",Ronald Agenor,Claudio Panatta Tomas Smid,
1989,Seoul,Seoul,1989.04.10,32,16,Outdoor Hard,"$123,400",Robert Van't Hof,Scott Davis Paul Wekesa,
1989,Tokyo-1,Tokyo,1989.04.17,56,28,Outdoor Hard,"$627,500",Stefan Edberg,Ken Flach Robert Seguso,
1989,Nice,Nice,1989.04.17,32,16,Outdoor Clay,"$200,000",Andrei Chesnokov,Ricki Osterthun Udo Riglewski,
1989,Monte Carlo,Monte Carlo,1989.04.24,48,24,Outdoor Clay,"$607,500",Alberto Mancini,Tomas Smid Mark Woodforde,
1989,Singapore,Singapore,1989.04.24,32,16,Outdoor Hard,"$123,400",Kelly Jones,Rick Leach Jim Pugh,
1989,Forest Hills,Forest Hills,1989.05.01,56,28,Outdoor Clay,"$602,500",Ivan Lendl,Rick Leach Jim Pugh,
1989,Munich,Munich,1989.05.01,48,24,Outdoor Clay,"$205,000",Andrei Chesnokov,Javier Sanchez Balazs Taroczy,
1989,Hamburg,Hamburg,1989.05.08,56,28,Outdoor Clay,"$692,500",Ivan Lendl,Emilio Sanchez Javier Sanchez,
1989,Charleston,Charleston,1989.05.08,32,16,Outdoor Clay,"$220,000",Jay Berger,Mikael Pernfors Tobias Svantesson,
1989,Rome,Rome,1989.05.15,64,32,Outdoor Clay,"$1,000,000",Alberto Mancini,Jim Courier Pete Sampras,
1989,World Team Cup,Dusseldorf,1989.05.22,24,12,Outdoor Clay,"$1,500,000",Boris Becker,Boris Becker Heinz Gunthardt,
1989,Florence,Florence,1989.05.22,32,16,Outdoor Clay,"$123,400",Horacio de la Pena,Mike De Palmer Blaine Willenborg,
1989,Roland Garros,Paris,1989.05.29,128,64,Outdoor Clay,"$2,250,000",Michael Chang,Jim Grabb Patrick McEnroe,
1989,London / Queen's Club,London,1989.06.12,64,32,Outdoor Grass,"$380,000",Ivan Lendl,Darren Cahill Mark Kratzmann,
1989,Bologna,Bologna,1989.06.12,32,16,Outdoor Clay,"$123,400",Javier Sanchez,Sergio Casal Javier Sanchez,
1989,Bristol,Bristol,1989.06.19,32,16,Outdoor Grass,"$130,000",Eric Jelen,Paul Chamberlin Tim Wilkison,
1989,Bari,Bari,1989.06.19,32,16,Outdoor Clay,"$123,400",Juan Aguilera,Simone Colombo Claudio Mezzadri,
1989,Wimbledon,London,1989.06.26,128,64,Outdoor Grass,"$2,384,162",Boris Becker,John Fitzgerald Anders Jarryd,
1989,Boston,Boston,1989.07.10,56,28,Outdoor Clay,"$415,000",Andres Gomez,Andres Gomez Alberto Mancini,
1989,Gstaad,Gstaad,1989.07.10,32,16,Outdoor Clay,"$305,000",Carl-Uwe Steeb,Cassio Motta Todd Witsken,
1989,Newport,Newport,1989.07.10,32,16,Outdoor Grass,"$155,000",Jim Pugh,Patrick Galbraith Brian Garrow,
1989,Schenectady,Schenectady,1989.07.17,32,16,Outdoor Hard,"$130,000",Simon Youl,Scott Davis Broderick Dyke,
1989,Washington,Washington,1989.07.24,56,28,Outdoor Hard,"$415,000",Tim Mayotte,Neil Broad Gary Muller,
1989,Stuttgart,Stuttgart,1989.07.24,48,24,Outdoor Clay,"$350,000",Martin Jaite,Petr Korda Tomas Smid,
1989,Hilversum,Hilversum,1989.07.24,32,16,Outdoor Clay,"$180,000",Karel Novacek,,
1989,Stratton Mountain,Stratton Mountain,1989.07.31,64,32,Outdoor Hard,"$602,500",Brad Gilbert,Mark Kratzmann Wally Masur,
1989,Kitzbuhel,Kitzbuhel,1989.07.31,64,32,Outdoor Clay,"$350,000",Emilio Sanchez,Emilio Sanchez Javier Sanchez,
1989,Bastad,Bastad,1989.07.31,32,16,Outdoor Clay,"$305,000",Paolo Cane,Per Henricsson Nicklas Utgren,
1989,Indianapolis,Indianapolis,1989.08.07,56,28,Outdoor Hard,"$417,500",John McEnroe,Pieter Aldrich Danie Visser,
1989,Prague,Prague,1989.08.07,32,16,Outdoor Clay,"$170,000",Marcelo Filippini,Jordi Arrese Horst Skoff,
1989,Livingston,Livingston,1989.08.07,32,16,Outdoor Hard,"$123,400",Brad Gilbert,Tim Pawsat Tim Wilkison,
1989,Montreal,Montreal,1989.08.14,56,28,Outdoor Hard,"$742,500",Ivan Lendl,Kelly Evernden Todd Witsken,
1989,Cincinnati,Cincinnati,1989.08.14,64,32,Outdoor Hard,"$602,500",Brad Gilbert,Ken Flach Robert Seguso,
1989,St. Vincent,St. Vincent,1989.08.14,32,16,Outdoor Clay,"$155,000",Franco Davin,Josef Cihak Cyril Suk,
1989,San Marino,San Marino,1989.08.21,32,16,Outdoor Clay,"$123,400",Jose Francisco Altur,Simone Colombo Claudio Mezzadri,
1989,US Open,New York,1989.08.28,128,64,Outdoor Hard,"$2,554,250",Boris Becker,John McEnroe Mark Woodforde,
1989,Geneva,Geneva,1989.09.11,32,16,Outdoor Clay,"$220,000",Marc Rosset,Andres Gomez Alberto Mancini,
1989,Madrid,Madrid,1989.09.11,32,16,Outdoor Clay,"$205,000",Martin Jaite,Carlos Costa Tomas Carbonell,
1989,Barcelona,Barcelona,1989.09.18,56,28,Outdoor Clay,"$492,500",Andres Gomez,Gustavo Luza Christian Miniussi,
1989,Los Angeles,Los Angeles,1989.09.18,32,16,Outdoor Hard,"$425,000",Aaron Krickstein,Marty Davis Tim Pawsat,
1989,San Francisco,San Francisco,1989.09.25,32,16,Indoor Carpet,"$415,000",Brad Gilbert,Pieter Aldrich Danie Visser,
1989,Bordeaux,Bordeaux,1989.09.25,32,16,Outdoor Clay,"$255,000",Ivan Lendl,Tomas Carbonell Carlos Di Laura,
1989,Palermo,Palermo,1989.09.25,32,16,Outdoor Clay,"$123,400",Guillermo Perez-Roldan,Peter Ballauff Rudiger Haas,
1989,Orlando,Orlando,1989.10.02,32,16,Outdoor Hard,"$415,000",Andre Agassi,Scott Davis Tim Pawsat,
1989,Brisbane,Brisbane,1989.10.02,32,16,Outdoor Hard,"$180,000",Niclas Kroon,Darren Cahill Mark Kratzmann,
1989,Basel,Basel,1989.10.03,32,16,Indoor Hard,"$416,000",Jim Courier,Udo Riglewski Michael Stich,
1989,Sydney-2,Sydney,1989.10.09,32,16,Indoor Hard,"$492,500",Ivan Lendl,David Pate Scott Warner,
1989,Toulouse,Toulouse,1989.10.09,32,16,Indoor Hard,"$255,000",Jimmy Connors,Mansour Bahrami Eric Winogradsky,
1989,Vienna,Vienna,1989.10.16,32,16,Indoor Carpet,"$255,000",Paul Annacone,Jan Gunnarsson Anders Jarryd,
1989,Tel Aviv,Tel Aviv,1989.10.16,32,16,Outdoor Hard,"$130,000",Jimmy Connors,Jeremy Bates Patrick Baur,
1989,Tokyo-2,Tokyo,1989.10.17,32,16,Indoor Carpet,"$617,500",Aaron Krickstein,Kevin Curren David Pate,
1989,Frankfurt,Frankfurt,1989.10.23,32,16,Indoor Carpet,"$205,000",Kevin Curren,Pieter Aldrich Danie Visser,
1989,Paris,Paris,1989.10.30,32,16,Indoor Carpet,"$1,267,500",Boris Becker,John Fitzgerald Anders Jarryd,
1989,Stockholm,Stockholm,1989.11.06,48,24,Indoor Carpet,"$1,025,000",Ivan Lendl,Jorge Lozano Todd Witsken,
1989,Sao Paulo,Sao Paulo,1989.11.06,32,16,Outdoor Carpet,"$130,000",Martin Jaite,,
1989,Wembley,Wembley,1989.11.07,32,16,Indoor Carpet,"$517,500",Michael Chang,Jakob Hlasek John McEnroe,
1989,Johannesburg,Johannesburg,1989.11.13,32,16,Indoor Hard,"$415,000",Christo Van Rensburg,Luke Jensen Richey Reneberg,
1989,Itaparica,Itaparica,1989.11.20,32,16,Outdoor Hard,"$305,000",Martin Jaite,Rick Leach Jim Pugh,
1989,Masters,,1989.11.28,8,0,Indoor Carpet,"$750,000",Stefan Edberg,,
1989,Masters Doubles,London,1989.12.06,0,8,Indoor Carpet,"$200,000",,Jim Grabb Patrick McEnroe,
1990,Adelaide,Adelaide,1990.01.01,32,16,Outdoor Hard,"$150,000",Thomas Muster,Andrew Castle Nduka Odizor,
1990,Wellington,Wellington,1990.01.01,32,16,Outdoor Hard,"$150,000",Emilio Sanchez,Kelly Evernden Nicolas Pereira,
1990,Sydney-1,Sydney,1990.01.08,32,16,Outdoor Hard,"$175,000",Yannick Noah,Pat Cash Mark Kratzmann,
1990,Auckland,Auckland,1990.01.08,32,16,Outdoor Hard,"$150,000",Scott Davis,Kelly Jones Robert Van't Hof,
1990,Australian Open,Melbourne,1990.01.15,128,64,Outdoor Hard,"$1,462,000",Ivan Lendl,Pieter Aldrich Danie Visser,
1990,Milan,Milan,1990.02.05,32,16,Indoor Carpet,"$600,000",Ivan Lendl,Omar Camporese Diego Nargiso,
1990,San Francisco,San Francisco,1990.02.05,32,16,Indoor Carpet,"$250,000",Andre Agassi,Kelly Jones Robert Van't Hof,
1990,Guaruja,Guaruja,1990.02.05,32,16,Outdoor Hard,"$150,000",Martin Jaite,Javier Frana Gustavo Luza,
1990,Toronto-1,Toronto,1990.02.12,56,28,Indoor Carpet,"$1,200,000",Ivan Lendl,Patrick Galbraith David Macpherson,
1990,Brussels,Brussels,1990.02.12,32,16,Indoor Carpet,"$600,000",Boris Becker,Emilio Sanchez Slobodan Zivojinovic,
1990,Philadelphia,Philadelphia,1990.02.19,48,24,Indoor Carpet,"$1,000,000",Pete Sampras,Rick Leach Jim Pugh,
1990,Stuttgart-1,Stuttgart,1990.02.19,32,16,Indoor Carpet,"$1,000,000",Boris Becker,Guy Forget Jakob Hlasek,
1990,Rotterdam,Rotterdam,1990.02.26,32,16,Indoor Carpet,"$500,000",Brad Gilbert,Leonardo Lavalle Jorge Lozano,
1990,Memphis,Memphis,1990.02.26,48,24,Indoor Hard,"$250,000",Michael Stich,Darren Cahill Mark Kratzmann,
1990,ATP Masters 1000 Indian Wells,Indian Wells,1990.03.05,56,28,Outdoor Hard,"$1,000,000",Stefan Edberg,Boris Becker Guy Forget,
1990,Casablanca,Casablanca,1990.03.05,32,16,Outdoor Clay,"$150,000",Thomas Muster,Todd Woodbridge Simon Youl,
1990,ATP Masters 1000 Miami,Miami,1990.03.16,96,48,Outdoor Hard,"$1,500,000",Andre Agassi,Rick Leach Jim Pugh,
1990,Estoril,Estoril,1990.04.02,32,16,Outdoor Clay,"$250,000",Emilio Sanchez,Sergio Casal Emilio Sanchez,
1990,Orlando,Orlando,1990.04.02,32,16,Outdoor Hard,"$250,000",Brad Gilbert,Scott Davis David Pate,
1990,Rio de Janeiro,Rio de Janeiro,1990.04.02,32,16,Outdoor Carpet,"$250,000",Luiz Mattar,Brian Garrow Sven Salumaa,
1990,Tokyo-1,Tokyo,1990.04.09,56,28,Outdoor Hard,"$1,000,000",Stefan Edberg,Mark Kratzmann Wally Masur,
1990,Barcelona,Barcelona,1990.04.09,56,28,Outdoor Clay,"$500,000",Andres Gomez,Andres Gomez Javier Sanchez,
1990,Nice,Nice,1990.04.16,32,16,Outdoor Clay,"$250,000",Juan Aguilera,Alberto Mancini Yannick Noah,
1990,Seoul,Seoul,1990.04.16,32,16,Outdoor Hard,"$165,000",Alex Antonitsch,Grant Connell Glenn Michibata,
1990,ATP Masters 1000 Monte Carlo,Monte Carlo,1990.04.23,56,28,Outdoor Clay,"$1,000,000",Andrei Chesnokov,Petr Korda Tomas Smid,
1990,Hong Kong,Hong Kong,1990.04.23,32,16,Outdoor Hard,"$210,000",Pat Cash,Pat Cash Wally Masur,
1990,Madrid,Madrid,1990.04.30,32,16,Outdoor Clay,"$310,000",Andres Gomez,Juan Carlos Baguena Omar Camporese,
1990,Munich,Munich,1990.04.30,32,16,Outdoor Clay,"$250,000",Karel Novacek,Udo Riglewski Michael Stich,
1990,Singapore,Singapore,1990.04.30,32,16,Outdoor Hard,"$250,000",Kelly Jones,Mark Kratzmann Jason Stoltenberg,
1990,ATP Masters 1000 Hamburg,Hamburg,1990.05.07,56,28,Outdoor Clay,"$1,000,000",Juan Aguilera,Sergi Bruguera Jim Courier,
1990,Kiawah Island,Kiawah Island,1990.05.07,32,16,Outdoor Clay,"$230,000",David Wheaton,Scott Davis David Pate,
1990,ATP Masters 1000 Rome,Rome,1990.05.14,64,32,Outdoor Clay,"$1,280,000",Thomas Muster,Sergio Casal Emilio Sanchez,
1990,Umag,Umag,1990.05.14,32,16,Outdoor Clay,"$175,000",Goran Prpic,Vojtech Flegl Daniel Vacek,
1990,World Team Cup,Dusseldorf,1990.05.21,24,12,Outdoor Clay,"$1,500,000",Goran Ivanisevic,Ken Flach Robert Seguso,
1990,Bologna,Bologna,1990.05.21,32,16,Outdoor Clay,"$250,000",Richard Fromberg,Gustavo Luza Udo Riglewski,
1990,Roland Garros,Paris,1990.05.28,128,64,Outdoor Clay,"$2,700,000",Andres Gomez,Sergio Casal Emilio Sanchez,
1990,London / Queen's Club,London,1990.06.11,56,28,Outdoor Grass,"$500,000",Ivan Lendl,Jeremy Bates Kevin Curren,
1990,Florence,Florence,1990.06.11,32,16,Outdoor Clay,"$250,000",Magnus Larsson,Sergi Bruguera Horacio de la Pena,
1990,Rosmalen,Rosmalen,1990.06.11,32,16,Outdoor Grass,"$250,000",Amos Mansdorf,Jakob Hlasek Michael Stich,
1990,Genoa,Genoa,1990.06.18,32,16,Outdoor Clay,"$250,000",Ronald Agenor,Tomas Carbonell Udo Riglewski,
1990,Manchester,Manchester,1990.06.18,32,16,Outdoor Grass,"$250,000",Pete Sampras,Mark Kratzmann Jason Stoltenberg,
1990,Wimbledon,London,1990.06.25,128,64,Outdoor Grass,"$2,670,863",Stefan Edberg,Rick Leach Jim Pugh,
1990,Gstaad,Gstaad,1990.07.09,32,16,Outdoor Clay,"$305,000",Martin Jaite,Sergio Casal Emilio Sanchez,
1990,Bastad,Bastad,1990.07.09,32,16,Outdoor Clay,"$250,000",Richard Fromberg,Ronnie Bathman Rikard Bergh,
1990,Newport,Newport,1990.07.09,32,16,Outdoor Grass,"$175,000",Pieter Aldrich,Darren Cahill Mark Kratzmann,
1990,Stuttgart-2,Stuttgart,1990.07.16,48,24,Outdoor Clay,"$1,000,000",Goran Ivanisevic,Pieter Aldrich Danie Visser,
1990,Washington,Washington,1990.07.16,56,28,Outdoor Hard,"$550,000",Andre Agassi,Grant Connell Glenn Michibata,
1990,ATP Masters 1000 Canada,Toronto,1990.07.23,56,28,Outdoor Hard,"$1,200,000",Michael Chang,Paul Annacone David Wheaton,
1990,Hilversum,Hilversum,1990.07.23,32,16,Outdoor Clay,"$240,000",Francisco Clavet,Sergio Casal Emilio Sanchez,
1990,Kitzbuhel,Kitzbuhel,1990.07.30,48,24,Outdoor Clay,"$375,000",Horacio de la Pena,Javier Sanchez Eric Winogradsky,
1990,Los Angeles,Los Angeles,1990.07.30,32,16,Outdoor Hard,"$250,000",Stefan Edberg,Scott Davis David Pate,
1990,San Remo,San Remo,1990.07.30,32,16,Outdoor Clay,"$250,000",Jordi Arrese,Mihnea-Ion Nastase Goran Prpic,
1990,ATP Masters 1000 Cincinnati,Cincinnati,1990.08.06,56,28,Outdoor Hard,"$1,300,000",Stefan Edberg,Darren Cahill Mark Kratzmann,
1990,Prague,Prague,1990.08.06,32,16,Outdoor Clay,"$176,000",Jordi Arrese,Vojtech Flegl Daniel Vacek,
1990,Indianapolis,Indianapolis,1990.08.13,56,28,Outdoor Hard,"$1,000,000",Boris Becker,Scott Davis David Pate,
1990,New Haven,New Haven,1990.08.13,56,28,Outdoor Hard,"$1,000,000",Derrick Rostagno,Jeff Brown Scott Melville,
1990,Long Island,Long Island,1990.08.20,28,14,Outdoor Hard,"$250,000",Stefan Edberg,Guy Forget Jakob Hlasek,
1990,San Marino,San Marino,1990.08.20,32,16,Outdoor Clay,"$150,000",Guillermo Perez-Roldan,Vojtech Flegl Daniel Vacek,
