Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team
1915,US Championships,"New York, United States",1915.08.31,128,0,Outdoor Grass,,Bill Johnston,,
1916,US Championships,"New York, United States",1916.08.28,128,0,Outdoor Grass,,Richard Norris Williams,,
1917,US Championships,"New York, United States",1917.08.20,64,0,Outdoor Grass,,Lindley Murray,,
1918,US Championships,"New York, United States",1918.08.26,128,0,Outdoor Grass,,Lindley Murray,,
1919,Wimbledon,"London, Great Britain",1919.06.23,129,0,Outdoor Grass,,Gerald Patterson,,
1919,US Championships,"New York, United States",1919.08.26,128,0,Outdoor Grass,,Bill Johnston,,
1919,Australasian Championships,"Sydney, Australia",1920.01.22,64,0,Outdoor Grass,,Algernon Kingscote,,
1920,Australasian Championships,"Adelaide, Australia",1920.03.15,32,0,Outdoor Grass,,Pat O'Hara-Wood,,
1920,Wimbledon,"London, Great Britain",1920.06.21,129,0,Outdoor Grass,,Bill Tilden,,
1920,US Championships,"New York, United States",1920.08.30,128,0,Outdoor Grass,,Bill Tilden,,
1921,Wimbledon,"London, Great Britain",1921.06.20,129,0,Outdoor Grass,,Bill Tilden,,
1921,US Championships,"Philadelphia, PA, United States",1921.09.09,128,0,Outdoor Grass,,Bill Tilden,,
1921,Australasian Championships,"Perth, Australia",1921.12.26,32,0,Outdoor Grass,,Rhys Gemmell,,
1922,Wimbledon,"London, Great Britain",1922.06.26,128,0,Outdoor Grass,,Gerald Patterson,,
1922,US Championships,"Philadelphia, PA, United States",1922.09.08,128,0,Outdoor Grass,,Bill Tilden,,
1922,Australasian Championships,"Sydney, Australia",1922.12.01,64,0,Outdoor Grass,,James Anderson,,
1923,Wimbledon,"London, Great Britain",1923.06.25,128,0,Outdoor Grass,,Bill Johnston,,
1923,Australasian Championships,"Brisbane, Australia",1923.08.11,32,0,Outdoor Grass,,Pat O'Hara-Wood,,
1923,US Championships,"Philadelphia, PA, United States",1923.09.10,64,0,Outdoor Grass,,Bill Tilden,,
1924,Australasian Championships,"Melbourne, Australia",1924.01.20,64,0,Outdoor Grass,,James Anderson,,
1924,Wimbledon,"London, Great Britain",1924.06.23,128,0,Outdoor Grass,,Jean Borotra,,
1924,US Championships,"New York, United States",1924.08.25,128,0,Outdoor Grass,,Bill Tilden,,
1925,Australian Championships,"Sydney, Australia",1925.01.24,64,0,Outdoor Grass,,James Anderson,,
1925,French Championships,"Saint Cloud, France",1925.05.27,64,0,Outdoor Grass,,Rene Lacoste,,
1925,Wimbledon,"London, Great Britain",1925.06.22,128,0,Outdoor Grass,,Rene Lacoste,,
1925,US Championships,"New York, United States",1925.09.14,64,0,Outdoor Grass,,Bill Tilden,,
1926,Australian Championships,"Adelaide, Australia",1926.01.23,64,0,Outdoor Grass,,John Hawkes,,
1926,French Championships,"Paris, France",1926.06.02,128,0,Outdoor Grass,,Henri Cochet,,
1926,Wimbledon,"London, Great Britain",1926.06.21,128,0,Outdoor Grass,,Jean Borotra,,
1926,US Championships,"New York, United States",1926.09.13,64,0,Outdoor Grass,,Rene Lacoste,,
1927,Australian Championships,"Melbourne, Australia",1927.01.22,64,0,Outdoor Grass,,Gerald Patterson,,
1927,French Championships,"Saint Cloud, France",1927.05.24,128,0,Outdoor Grass,,Rene Lacoste,,
1927,Wimbledon,"London, Great Britain",1927.06.20,128,0,Outdoor Grass,,Henri Cochet,,
1927,US Championships,"New York, United States",1927.09.12,64,0,Outdoor Grass,,Rene Lacoste,,
1928,Australian Championships,"Sydney, Australia",1928.01.28,64,0,Outdoor Grass,,Jean Borotra,,
1928,French Championships,"Paris, France",1928.05.25,128,0,Outdoor Clay,,Henri Cochet,,
1928,Wimbledon,"London, Great Britain",1928.06.25,128,0,Outdoor Grass,,Rene Lacoste,,
1928,US Championships,"New York, United States",1928.09.10,64,0,Outdoor Grass,,Henri Cochet,,
1929,Australian Championships,"Adelaide, Australia",1929.01.19,32,0,Outdoor Grass,,John Colin Gregory,,
1929,French Championships,"Paris, France",1929.05.24,128,0,Outdoor Clay,,Rene Lacoste,,
1929,Wimbledon,"London, Great Britain",1929.06.24,128,0,Outdoor Grass,,Henri Cochet,,
1929,US Championships,"New York, United States",1929.09.07,128,0,Outdoor Grass,,Bill Tilden,,
1930,Australian Championships,"Melbourne, Australia",1930.01.20,32,0,Outdoor Grass,,Edgar Moon,,
1930,French Championships,"Paris, France",1930.05.24,128,0,Outdoor Clay,,Henri Cochet,,
1930,Wimbledon,"London, Great Britain",1930.06.23,128,0,Outdoor Grass,,Bill Tilden,,
1930,US Championships,"New York, United States",1930.09.06,128,0,Outdoor Grass,,John Doeg,,
1931,Australian Championships,"Sydney, Australia",1931.02.27,32,0,Outdoor Grass,,Jack Crawford,,
1931,French Championships,"Paris, France",1931.05.22,128,0,Outdoor Clay,,Jean Borotra,,
1931,Wimbledon,"London, Great Britain",1931.06.22,128,0,Outdoor Grass,,Sidney Jr. Wood,,
1931,US Championships,"New York, United States",1931.09.05,128,0,Outdoor Grass,,Ellsworth Vines,,
1932,Australian Championships,"Adelaide, Australia",1932.02.08,32,0,Outdoor Grass,,Jack Crawford,,
1932,French Championships,"Paris, France",1932.05.26,128,0,Outdoor Clay,,Henri Cochet,,
1932,Wimbledon,"London, Great Britain",1932.06.20,128,0,Outdoor Grass,,Ellsworth Vines,,
1932,US Championships,"New York, United States",1932.09.03,128,0,Outdoor Grass,,Ellsworth Vines,,
1933,Australian Championships,"Melbourne, Australia",1933.01.21,32,0,Outdoor Grass,,Jack Crawford,,
1933,French Championships,"Paris, France",1933.05.25,128,0,Outdoor Clay,,Jack Crawford,,
1933,Wimbledon,"London, Great Britain",1933.06.26,128,0,Outdoor Grass,,Jack Crawford,,
1933,US Championships,"New York, United States",1933.09.02,128,0,Outdoor Grass,,Fred Perry,,
1934,Australian Championships,"Sydney, Australia",1934.01.18,32,0,Outdoor Grass,,Fred Perry,,
1934,French Championships,"Paris, France",1934.05.23,128,0,Outdoor Clay,,Gottfried Von Cramm,,
1934,Wimbledon,"London, Great Britain",1934.06.25,128,0,Outdoor Grass,,Fred Perry,,
1934,US Championships,"New York, United States",1934.09.01,128,0,Outdoor Grass,,Fred Perry,,
1935,Australian Championships,"Melbourne, Australia",1935.01.01,32,0,Outdoor Grass,,Jack Crawford,,
1935,French Championships,"Paris, France",1935.05.22,128,0,Outdoor Clay,,Fred Perry,,
1935,Wimbledon,"London, Great Britain",1935.06.24,128,0,Outdoor Grass,,Fred Perry,,
1935,US Championships,"New York, United States",1935.08.29,128,0,Outdoor Grass,,Wilmer Allison,,
1936,Australian Championships,"Adelaide, Australia",1936.01.20,32,0,Outdoor Grass,,Adrian Quist,,
1936,French Championships,"Paris, France",1936.05.21,128,0,Outdoor Clay,,Gottfried Von Cramm,,
1936,Wimbledon,"London, Great Britain",1936.06.22,128,0,Outdoor Grass,,Fred Perry,,
1936,US Championships,"New York, United States",1936.09.03,128,0,Outdoor Grass,,Fred Perry,,
1937,Australian Championships,"Sydney, Australia",1937.01.22,32,0,Outdoor Grass,,Vivian Mcgrath,,
1937,French Championships,"Paris, France",1937.05.21,128,0,Outdoor Clay,,Henner Henkel,,
1937,Wimbledon,"London, Great Britain",1937.06.21,128,0,Outdoor Grass,,Don Budge,,
1937,US Championships,"New York, United States",1937.09.02,128,0,Outdoor Grass,,Don Budge,,
1938,Australian Championships,"Adelaide, Australia",1938.01.21,32,0,Outdoor Grass,,Don Budge,,
1938,French Championships,"Paris, France",1938.06.02,128,0,Outdoor Clay,,Don Budge,,
1938,Wimbledon,"London, Great Britain",1938.06.20,128,0,Outdoor Grass,,Don Budge,,
1938,US Championships,"New York, United States",1938.09.08,128,0,Outdoor Grass,,Don Budge,,
1939,Australian Championships,"Melbourne, Australia",1939.01.20,32,0,Outdoor Grass,,John Bromwich,,
1939,French Championships,"Paris, France",1939.06.08,64,0,Outdoor Clay,,Donald McNeill,,
1939,Wimbledon,"London, Great Britain",1939.06.26,128,0,Outdoor Grass,,Bobby Riggs,,
1939,US Championships,"New York, United States",1939.09.07,128,0,Outdoor Grass,,Bobby Riggs,,
1940,Australian Championships,"Sydney, Australia",1940.01.19,32,0,Outdoor Grass,,Adrian Quist,,
1940,US Championships,"New York, United States",1940.09.02,128,0,Outdoor Grass,,Donald McNeill,,
1941,US Championships,"New York, United States",1941.08.30,64,0,Outdoor Grass,,Bobby Riggs,,
1942,US Championships,"New York, United States",1942.08.27,64,0,Outdoor Grass,,"Frederick ""Ted"" Schroeder",,
1943,US Championships,"New York, United States",1943.09.01,32,0,Outdoor Grass,,Joseph Hunt,,
1944,US Championships,"New York, United States",1944.08.30,32,0,Outdoor Grass,,Frank Parker,,
1945,US Championships,"New York, United States",1945.08.28,64,0,Outdoor Grass,,Frank Parker,,
1946,Australian Championships,"Adelaide, Australia",1946.01.19,64,0,Outdoor Grass,,John Bromwich,,
1946,Wimbledon,"London, Great Britain",1946.06.24,128,0,Outdoor Grass,,Yvon Petra,,
1946,French Championships,"Paris, France",1946.07.18,64,0,Outdoor Clay,,Marcel Bernard,,
1946,US Championships,"New York, United States",1946.08.31,128,0,Outdoor Grass,,Jack Kramer,,
1947,Australian Championships,"Sydney, Australia",1947.01.18,32,0,Outdoor Grass,,Dinny Pails,,
1947,Wimbledon,"London, Great Britain",1947.06.23,128,0,Outdoor Grass,,Jack Kramer,,
1947,French Championships,"Paris, France",1947.07.14,128,0,Outdoor Clay,,Jozsef Asboth,,
1947,US Championships,"New York, United States",1947.09.06,128,0,Outdoor Grass,,Jack Kramer,,
