Year,Name,Location,Dates,Draw- singles,Draw- doubles,Surface,Prize money,Winner- singles,Winner- doubles,Winner- team,Tournament url
1977,,Louisville,"Louisville, United States",1977.07.25,64,32,Outdoor Clay,"$125,000",Guillermo Vilas,John Alexander Phil Dent,
1977,,North Conway,"North Conway, United States",1977.08.01,64,32,Outdoor Clay,"$125,000",John Alexander,Brian Gottfried Raul Ramirez,
1977,,South Orange,"South Orange, United States",1977.08.01,32,16,Outdoor Clay,"$75,000",Guillermo Vilas,Colin Dibley Wojtek Fibak,
1977,,Columbus,"Columbus, United States",1977.08.08,64,32,Outdoor Clay,"$125,000",Guillermo Vilas,Robert Lutz Stan Smith,
1977,,Indianapolis,"Indianapolis, United States",1977.08.08,64,32,Outdoor Clay,"$125,000",Manuel Orantes,Patricio Cornejo Jaime Fillol Sr.,
1977,,Toronto-2,"Toronto, Canada",1977.08.15,64,32,Outdoor Clay,"$125,000",Jeff Borowiak,Bob Hewitt Raul Ramirez,
1977,,Boston,"Boston, United States",1977.08.22,64,32,Outdoor Clay,"$125,000",Manuel Orantes,Brian Gottfried Bob Hewitt,
1977,grandslam,US Open,"New York, United States",1977.08.31,128,64,Outdoor Clay,"$250,000",Guillermo Vilas,Bob Hewitt Frew McMillan,
1977,,Woodlands Doubles,"Woodlands, United States",1977.09.13,0,32,Outdoor Hard,"$125,000",,Tom Okker Marty Riessen,
1977,,Laguna Niguel,"Laguna Niguel, United States",1977.09.14,32,16,Outdoor Hard,"$25,000",Andrew Pattison,James Chico Hagey Billy Martin,
1977,,WCT Tournament of Champions,"New York, United States",1977.09.17,16,0,Outdoor Hard,"$200,000",Harold Solomon,,
1977,,Los Angeles-2,"Los Angeles, United States",1977.09.19,64,32,Outdoor Hard,"$100,000",Raul Ramirez,Sandy Mayer Frew McMillan,
1977,,Paris-1,"Paris, France",1977.09.19,32,16,Outdoor Clay,"$50,000",Guillermo Vilas,Christophe Roger-Vasselin Jacques Thamin,
1977,,San Francisco,"San Francisco, United States",1977.09.26,64,32,Indoor Carpet,"$125,000",Butch Walts,Marty Riessen Dick Stockton,
1977,,World Invitational Tennis Classic,"Hilton Head, United States",1977.09.26,4,0,Outdoor Clay,"$110,000",Bjorn Borg,,
1977,,Aix-en-Provence,"Aix-en-Provence, France",1977.09.26,32,16,Outdoor Clay,"$50,000",Ilie Nastase,Ilie Nastase Ion Tiriac,
1977,,Tehran,"Tehran, Iran",1977.10.03,64,32,Outdoor Clay,"$150,000",Guillermo Vilas,Ion Tiriac Guillermo Vilas,
1977,,Maui,"Maui, United States",1977.10.03,32,16,Outdoor Hard,"$100,000",Jimmy Connors,Robert Lutz Stan Smith,
1977,,Madrid,"Madrid, Spain",1977.10.10,64,32,Outdoor Clay,"$100,000",Bjorn Borg,Bob Hewitt Frew McMillan,
1977,,Brisbane,"Brisbane, Australia",1977.10.10,32,16,Outdoor Grass,"$50,000",Vitas Gerulaitis,Vitas Gerulaitis Bill Scanlon,
1977,,Sydney-1,"Sydney, Australia",1977.10.17,32,16,Indoor Hard,"$125,000",Jimmy Connors,John Newcombe Tony Roche,
1977,,Barcelona,"Barcelona, Spain",1977.10.17,64,32,Outdoor Clay,"$100,000",Bjorn Borg,Wojtek Fibak Jan Kodes,
1977,,Basel,"Basel, Switzerland",1977.10.24,32,16,Indoor Hard,"$50,000",Bjorn Borg,Mark Cox Buster C. Mottram,
1977,,Perth,"Perth, Australia",1977.10.24,32,16,Indoor Carpet,"$50,000",Vitas Gerulaitis,Ray Ruffels Allan Stone,
1977,,Vienna,"Vienna, Austria",1977.10.24,32,16,Indoor Hard,"$50,000",Brian Gottfried,Bob Hewitt Frew McMillan,
